City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sindor,62.8629,51.8905,15.53,97,100,2.57,RU,2023-02-03 21:47:28
1,rikitea,-23.1203,-134.9692,78.44,72,99,6.29,PF,2023-02-03 21:47:32
2,cape town,-33.9258,18.4232,71.38,69,0,14.0,ZA,2023-02-03 21:44:56
3,punta arenas,-53.15,-70.9167,62.71,42,0,32.21,CL,2023-02-03 21:47:34
4,saint george,37.1041,-113.5841,55.26,39,0,1.99,US,2023-02-03 21:44:17
5,hithadhoo,-0.6,73.0833,81.45,70,61,19.91,MV,2023-02-03 21:47:36
6,jamestown,42.097,-79.2353,9.72,78,100,19.57,US,2023-02-03 21:45:48
7,saint-philippe,-21.3585,55.7679,78.39,88,78,9.91,RE,2023-02-03 21:47:37
8,albany,42.6001,-73.9662,4.37,50,82,5.01,US,2023-02-03 21:47:37
9,airai,-8.9266,125.4092,60.08,95,100,2.19,TL,2023-02-03 21:44:38
10,khani,41.9563,42.9566,24.37,65,57,6.89,GE,2023-02-03 21:47:38
11,hermanus,-34.4187,19.2345,64.8,76,0,12.68,ZA,2023-02-03 21:47:39
12,collie,-33.3667,116.15,62.13,63,0,8.57,AU,2023-02-03 21:47:40
13,parambu,-6.2111,-40.6944,75.96,60,21,3.51,BR,2023-02-03 21:47:40
14,matagami,49.7502,-77.6328,-25.49,62,100,16.11,CA,2023-02-03 21:47:41
15,san patricio,28.017,-97.5169,60.17,55,9,7.63,US,2023-02-03 21:47:42
16,inhambane,-23.865,35.3833,76.5,86,18,9.55,MZ,2023-02-03 21:44:49
17,kapaa,22.0752,-159.319,75.18,91,100,19.57,US,2023-02-03 21:47:43
18,arlit,18.7369,7.3853,73.33,16,30,6.02,NE,2023-02-03 21:47:43
19,hasaki,35.7333,140.8333,36.21,66,97,7.38,JP,2023-02-03 21:45:44
20,salinopolis,-0.6136,-47.3561,78.53,84,44,12.5,BR,2023-02-03 21:47:44
21,victoria,22.2855,114.1577,64.45,85,97,10.0,HK,2023-02-03 21:46:56
22,pozo colorado,-23.4923,-58.7972,82.89,42,100,4.83,PY,2023-02-03 21:47:46
23,mataura,-46.1927,168.8643,77.81,55,8,3.83,NZ,2023-02-03 21:44:40
24,nanortalik,60.1432,-45.2371,18.01,71,100,31.25,GL,2023-02-03 21:47:47
25,kango,0.1943,10.0951,77.41,88,47,4.09,GA,2023-02-03 21:47:48
26,hilo,19.7297,-155.09,82.27,69,40,9.22,US,2023-02-03 21:47:49
27,sibolga,1.7427,98.7792,76.21,84,100,1.99,ID,2023-02-03 21:47:50
28,khatanga,71.9667,102.5,-25.65,99,84,4.03,RU,2023-02-03 21:47:50
29,mahebourg,-20.4081,57.7,77.29,94,40,5.75,MU,2023-02-03 21:47:51
30,bluff,-46.6,168.3333,67.66,80,6,3.09,NZ,2023-02-03 21:47:51
31,nikolskoye,59.7035,30.7861,24.78,96,100,5.59,RU,2023-02-03 21:47:52
32,upernavik,72.7868,-56.1549,-14.12,100,100,7.52,GL,2023-02-03 21:47:52
33,qaanaaq,77.484,-69.3632,-1.8,60,33,6.46,GL,2023-02-03 21:47:53
34,whitehorse,60.7161,-135.0538,13.8,72,75,2.3,CA,2023-02-03 21:45:10
35,bredasdorp,-34.5322,20.0403,65.35,80,0,9.04,ZA,2023-02-03 21:47:54
36,port alfred,-33.5906,26.891,68.18,93,61,3.0,ZA,2023-02-03 21:47:54
37,port elizabeth,-33.918,25.5701,71.89,94,0,10.36,ZA,2023-02-03 21:47:55
38,narsaq,60.9167,-46.05,14.22,72,75,11.52,GL,2023-02-03 21:47:55
39,coronado,32.6859,-117.1831,74.48,36,40,11.01,US,2023-02-03 21:47:56
40,isangel,-19.55,169.2667,85.62,75,96,14.45,VU,2023-02-03 21:47:57
41,pontianak,-0.0333,109.3333,75.18,100,100,2.3,ID,2023-02-03 21:47:57
42,gazanjyk,39.2446,55.5154,40.64,91,3,11.52,TM,2023-02-03 21:47:58
43,male,4.1748,73.5089,80.55,83,75,9.22,MV,2023-02-03 21:47:59
44,tuktoyaktuk,69.4541,-133.0374,-41.8,66,75,2.3,CA,2023-02-03 21:47:59
45,ponta do sol,32.6667,-17.1,61.43,49,45,6.42,PT,2023-02-03 21:48:00
46,vaini,-21.2,-175.2,82.56,83,75,10.36,TO,2023-02-03 21:48:01
47,verkhnevilyuysk,63.4453,120.3167,-28.43,100,99,2.68,RU,2023-02-03 21:48:01
48,kaitangata,-46.2817,169.8464,72.23,68,13,4.09,NZ,2023-02-03 21:48:04
49,amuntai,-2.4177,115.2494,73.22,98,100,0.6,ID,2023-02-03 21:48:06
50,pemangkat,1.1667,108.9667,74.08,93,100,4.83,ID,2023-02-03 21:48:07
51,santarem,-2.4431,-54.7083,84.33,70,20,11.5,BR,2023-02-03 21:48:08
52,iqaluit,63.7506,-68.5145,-31.27,59,20,26.46,CA,2023-02-03 21:48:10
53,balkhash,46.844,74.9804,26.71,95,100,6.73,KZ,2023-02-03 21:44:58
54,la rioja,42.25,-2.5,31.78,45,0,6.85,ES,2023-02-03 21:48:13
55,upata,8.0086,-62.3989,73.51,83,82,4.59,VE,2023-02-03 21:48:16
56,zhangjiakou,40.81,114.8794,16.84,54,0,4.21,CN,2023-02-03 21:48:17
57,lebu,-37.6167,-73.65,66.15,69,0,23.0,CL,2023-02-03 21:48:20
58,coachella,33.6803,-116.1739,74.61,18,0,1.99,US,2023-02-03 21:48:22
59,pochutla,15.7432,-96.4661,86.83,53,35,8.14,MX,2023-02-03 21:43:27
60,cognac,45.5,-0.25,39.97,81,0,6.91,FR,2023-02-03 21:48:14
61,laguna,38.421,-121.4238,59.18,66,100,5.75,US,2023-02-03 21:48:27
62,carnarvon,-24.8667,113.6333,78.26,78,21,7.09,AU,2023-02-03 21:48:30
63,svetlyy,54.675,20.1347,32.05,76,100,14.03,RU,2023-02-03 21:48:33
64,barrow,71.2906,-156.7887,-14.78,76,0,17.27,US,2023-02-03 21:48:34
65,saskylakh,71.9167,114.0833,-42.77,100,77,4.09,RU,2023-02-03 21:44:31
66,aklavik,68.2191,-135.0107,-34.6,74,40,2.3,CA,2023-02-03 21:48:36
67,mandan,46.8267,-100.8896,14.81,76,0,16.11,US,2023-02-03 21:47:54
68,zhigansk,66.7697,123.3711,-39.89,97,93,9.95,RU,2023-02-03 21:48:37
69,swan hill,-35.3378,143.5544,57.9,56,8,13.71,AU,2023-02-03 21:48:39
70,kozhva,65.1073,57.0459,8.67,96,97,5.82,RU,2023-02-03 21:48:40
71,new norfolk,-42.7826,147.0587,54.91,88,100,1.01,AU,2023-02-03 21:48:40
72,georgetown,5.4112,100.3354,75.15,94,20,2.3,MY,2023-02-03 21:43:51
73,lahat,-3.8,103.5333,71.06,90,100,2.28,ID,2023-02-03 21:48:41
74,umm lajj,25.0213,37.2685,66.72,49,0,10.02,SA,2023-02-03 21:48:42
75,longyearbyen,78.2186,15.6401,4.84,72,0,11.5,SJ,2023-02-03 21:48:43
76,podor,16.6527,-14.9587,76.95,38,0,2.3,MR,2023-02-03 21:48:44
77,panzhihua,26.5851,101.7128,46.65,48,0,1.99,CN,2023-02-03 21:45:34
78,ushuaia,-54.8,-68.3,53.26,66,75,25.32,AR,2023-02-03 21:48:45
79,severo-kurilsk,50.6789,156.125,26.89,78,99,10.54,RU,2023-02-03 21:44:46
80,tiksi,71.6872,128.8694,-33.0,100,91,1.01,RU,2023-02-03 21:48:46
81,bethel,41.3712,-73.414,16.11,36,75,12.66,US,2023-02-03 21:48:47
82,chokurdakh,70.6333,147.9167,-13.02,99,100,3.62,RU,2023-02-03 21:48:47
83,bengkulu,-3.8004,102.2655,74.75,89,100,4.9,ID,2023-02-03 21:48:48
84,kruisfontein,-34.0033,24.7314,66.11,88,52,5.03,ZA,2023-02-03 21:44:23
85,busselton,-33.65,115.3333,66.16,61,0,12.59,AU,2023-02-03 21:48:49
86,vanimo,-2.6741,141.3028,78.55,85,100,3.18,PG,2023-02-03 21:46:26
87,bathsheba,13.2167,-59.5167,81.21,65,40,17.27,BB,2023-02-03 21:48:51
88,ola,59.5833,151.2833,-9.56,89,31,7.49,RU,2023-02-03 21:48:52
89,leshukonskoye,64.8989,45.7622,11.17,98,100,0.51,RU,2023-02-03 21:48:52
90,mar del plata,-38.0023,-57.5575,71.94,74,40,14.97,AR,2023-02-03 21:48:24
91,hobart,-42.8794,147.3294,55.26,93,75,9.22,AU,2023-02-03 21:45:21
92,ahipara,-35.1667,173.1667,71.29,81,100,7.56,NZ,2023-02-03 21:44:15
93,bambous virieux,-20.3428,57.7575,77.25,94,40,5.75,MU,2023-02-03 21:48:54
94,puerto ayora,-0.7393,-90.3518,85.96,85,77,8.01,EC,2023-02-03 21:48:16
95,naze,28.3667,129.4833,56.32,73,99,9.01,JP,2023-02-03 21:48:55
96,coquimbo,-29.9533,-71.3436,67.73,72,40,10.36,CL,2023-02-03 21:48:56
97,chuy,-33.6971,-53.4616,69.24,84,88,11.01,UY,2023-02-03 21:45:06
98,swellendam,-34.0226,20.4417,66.56,74,0,8.7,ZA,2023-02-03 21:48:57
99,cockburn town,21.4612,-71.1419,77.04,77,3,15.73,TC,2023-02-03 21:48:57
100,sisimiut,66.9395,-53.6735,2.23,96,100,10.87,GL,2023-02-03 21:48:58
101,lima duarte,-21.8425,-43.7931,69.94,94,100,3.13,BR,2023-02-03 21:48:59
102,luau,-10.7073,22.2247,63.99,96,94,1.95,AO,2023-02-03 21:48:59
103,cartagena,10.3997,-75.5144,85.62,62,20,14.97,CO,2023-02-03 21:49:00
104,egvekinot,66.3167,-179.1667,-19.79,86,6,14.72,RU,2023-02-03 21:49:01
105,northam,51.0333,-4.2167,48.38,92,54,7.74,GB,2023-02-03 21:49:01
106,cherskiy,68.75,161.3,-21.1,100,97,0.92,RU,2023-02-03 21:49:07
107,tura,25.5198,90.2201,57.65,58,11,2.98,IN,2023-02-03 21:49:11
108,kodiak,57.79,-152.4072,35.11,69,75,6.91,US,2023-02-03 21:49:16
109,ribeira grande,38.5167,-28.7,61.77,94,75,14.0,PT,2023-02-03 21:45:41
110,grand gaube,-20.0064,57.6608,77.4,86,7,1.01,MU,2023-02-03 21:49:25
111,aldan,58.6031,125.3894,-2.7,98,100,5.61,RU,2023-02-03 21:49:28
112,kushmurun,52.4503,64.6311,-4.4,98,12,6.02,KZ,2023-02-03 21:49:32
113,surt,31.2089,16.5887,57.97,64,57,8.5,LY,2023-02-03 21:49:33
114,jiaojiang,28.6803,121.4428,46.0,83,100,4.23,CN,2023-02-03 21:49:34
115,pevek,69.7008,170.3133,-26.12,99,21,3.2,RU,2023-02-03 21:49:35
116,miranda,3.2499,-76.2281,84.33,78,100,4.81,CO,2023-02-03 21:49:36
117,susanville,40.4163,-120.653,44.44,64,75,10.36,US,2023-02-03 21:49:37
118,puli,23.9664,120.9695,61.21,78,71,3.74,TW,2023-02-03 21:49:37
119,dembi dolo,8.5333,34.8,65.39,35,29,4.16,ET,2023-02-03 21:49:38
120,esperance,-33.8667,121.9,61.23,77,77,10.38,AU,2023-02-03 21:49:39
121,grindavik,63.8424,-22.4338,36.07,75,75,39.12,IS,2023-02-03 21:49:39
122,yangambi,0.8102,24.4336,73.69,67,56,2.04,CD,2023-02-03 21:49:40
123,peniche,39.3558,-9.3811,51.46,87,0,11.25,PT,2023-02-03 21:49:41
124,codrington,-38.2667,141.9667,60.13,77,100,17.09,AU,2023-02-03 21:45:23
125,savelugu,9.6244,-0.8253,90.03,22,8,6.91,GH,2023-02-03 21:49:42
126,trelleborg,55.3751,13.1569,35.55,81,98,16.49,SE,2023-02-03 21:49:43
127,castro,-24.7911,-50.0119,65.08,95,100,9.69,BR,2023-02-03 21:49:44
128,ekibastuz,51.6667,75.3667,-5.37,99,66,3.89,KZ,2023-02-03 21:49:45
129,lompoc,34.6391,-120.4579,67.78,69,75,8.01,US,2023-02-03 21:49:46
130,kuruman,-27.4524,23.4325,70.99,48,69,6.69,ZA,2023-02-03 21:49:46
131,port lincoln,-34.7333,135.8667,61.41,64,68,8.5,AU,2023-02-03 21:49:47
132,thompson,55.7435,-97.8558,-7.44,77,100,3.44,CA,2023-02-03 21:49:47
133,imbituba,-28.24,-48.6703,73.51,97,100,3.47,BR,2023-02-03 21:49:48
134,saint anthony,45.0205,-93.218,2.66,55,100,11.5,US,2023-02-03 21:45:34
135,kardla,58.9978,22.7492,27.05,71,100,14.36,EE,2023-02-03 21:49:49
136,benjamin hill,30.1667,-111.1,73.49,12,44,1.16,MX,2023-02-03 21:49:50
137,soyo,-6.1349,12.3689,81.3,84,92,11.05,AO,2023-02-03 21:49:51
